序号,文件名,主单号,子单号,单号(Shipment No),页数,备注
1,ALS01568484687.pdf,ALS01568484687,(00)340339886180266179,598752163,1,
2,ALS01569483681.pdf,ALS01569483681,(00)340339886180262119,598750485,1,
3,ALS01580175109.pdf,ALS01580175109,(00)340339886180263772,598751344,1,
4,ALS01580607297.pdf,ALS01580607297,(00)340339886180264977,598751831,1,
5,ALS01581714711.pdf,ALS01581714711,(00)340339886180262966/(00)340339886180262973,598750889,2,多页包裹
6,ALS01581741179.pdf,ALS01581741179,(00)340339886180258365/(00)340339886180258372/(00)340339886180258389/(00)340339886180258396/(00)340339886180258402/(00)340339886180258419/(00)340339886180258426,598749221,7,多页包裹
7,ALS01582119314.pdf,ALS01582119314,(00)340339886180265158,598751883,1,
8,ALS01582443227.pdf,ALS01582443227,(00)340339886180260832/(00)340339886180260849,598749927,2,多页包裹
9,ALS01583766224.pdf,ALS01583766224,(00)340339886180260108/(00)340339886180260115,598749719,2,多页包裹
10,ALS01584063050.pdf,ALS01584063050,(00)340339886180262201/(00)340339886180262218,598750512,2,多页包裹
11,J000203638226.pdf,J000203638226,(00)340339886180263116,598750941,1,
12,J000203640027.pdf,J000203640027,(00)340339886180263871,598751376,1,
13,J000203643102.pdf,J000203643102,(00)340339886180259195/(00)340339886180259201/(00)340339886180259218/(00)340339886180259225/(00)340339886180259232,598749445,5,多页包裹
14,J000203648464.pdf,J000203648464,(00)340339886180267053,598752477,1,
15,J000203648500.pdf,J000203648500,(00)340339886180267190,598752535,1,
16,J000203648771.pdf,J000203648771,(00)340339886180266162,598752159,1,
